default,0,1.3889,2.7778,4.1667,5.5556,6.9444,8.3333,9.7222,11.1111,12.5,13.8889,15.2778,16.6667,18.0556,19.4444,20.8333,22.2222,23.6111,25,26.3889,27.7778,29.1667
0,-0.394,-0.395,-0.575,-0.576,-0.577,-0.578,-0.579,-0.580,-0.581,-0.586,-0.597,-0.598,-0.599,-0.601,-0.602,-0.603,-0.604,-0.605,-0.606,-0.607,-0.608,-0.609
0.100,-0.395,-0.396,-3.233,-3.234,-3.235,-3.236,-3.237,-3.238,-3.239,-3.244,-3.255,-3.256,-3.257,-3.259,-3.260,-3.261,-3.262,-3.263,-3.264,-3.265,-3.266,-3.267
0.200,-14.545,-14.546,-14.547,-14.548,-14.549,-14.550,-14.551,-14.552,-14.553,-14.554,-14.555,-14.556,-14.557,-14.558,-14.559,-14.560,-14.561,-14.562,-14.563,-14.564,-14.565,-14.566
0.300,-14.546,-14.547,-14.548,-14.549,-14.550,-14.551,-14.552,-14.553,-14.554,-14.555,-14.556,-14.557,-14.558,-14.559,-14.560,-14.561,-14.562,-14.563,-14.564,-14.565,-14.566,-14.567
0.400,-14.547,-14.548,-14.549,-14.550,-14.551,-14.552,-14.553,-14.554,-14.555,-14.556,-14.557,-14.558,-14.559,-14.560,-14.561,-14.562,-14.563,-14.564,-14.565,-14.566,-14.567,-14.568
0.500,-14.548,-14.549,-14.550,-14.551,-14.552,-14.553,-14.554,-14.555,-14.556,-14.557,-14.558,-14.559,-14.560,-14.561,-14.562,-14.563,-14.564,-14.565,-14.566,-14.567,-14.568,-14.569
0.600,-14.549,-14.550,-14.551,-14.552,-14.553,-14.554,-14.555,-14.556,-14.557,-14.558,-14.559,-14.560,-14.561,-14.562,-14.563,-14.564,-14.565,-14.566,-14.567,-14.568,-14.569,-14.570
0.700,-14.550,-14.551,-14.552,-14.553,-14.554,-14.555,-14.556,-14.557,-14.558,-14.559,-14.560,-14.561,-14.562,-14.563,-14.564,-14.565,-14.566,-14.567,-14.568,-14.569,-14.570,-14.571
0.800,-14.551,-14.552,-14.553,-14.554,-14.555,-14.556,-14.557,-14.558,-14.559,-14.560,-14.561,-14.562,-14.563,-14.564,-14.565,-14.566,-14.567,-14.568,-14.569,-14.570,-14.571,-14.572
0.900,-14.552,-14.553,-14.554,-14.555,-14.556,-14.557,-14.558,-14.559,-14.560,-14.561,-14.562,-14.563,-14.564,-14.565,-14.566,-14.567,-14.568,-14.569,-14.570,-14.571,-14.572,-14.573
1.000,-14.553,-14.554,-14.555,-14.556,-14.557,-14.558,-14.559,-14.560,-14.561,-14.562,-14.563,-14.564,-14.565,-14.566,-14.567,-14.568,-14.569,-14.570,-14.571,-14.572,-14.573,-14.574
